imageUrl,ProviderLogo,brand,model,phoneDescription,phoneDescription2,packageDetail,packageName,price,Url
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02,Core",Black/ Blue/ Red/ Gold,32GB, Min   SMS ,FreeMe 1.5GB TopUp @ R215,R215.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297254&Name=Samsung Galaxy A02 Core-FreeMe 1.5GB TopUp @ R215
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/74/e1/aa/5e/5eaae1747b8dcfad513530d1/hisense-E30-infinity-full.png,/img/logos/telkom.png,Hisense,"Infinity,E30,Lite",Black / Nebula Blue,32GB, Min   SMS ,FreeMe 1.5GB TopUp @ R215,R215.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297226&Name=Hisense Infinity E30 Lite-FreeMe 1.5GB TopUp @ R215
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02,Core",Black/ Blue/ Red/ Gold,32GB, Min   SMS ,FreeMe 1.5GB TopUp @ R215,R215.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297096&Name=Samsung Galaxy A02 Core-FreeMe 1.5GB TopUp @ R215
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02s",Black/ White/ Red/ Blue,32GB, Min   SMS ,FreeMe 1.5GB TopUp @ 225,R225.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297310&Name=Samsung Galaxy A02s-FreeMe 1.5GB TopUp @ 225
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02s",Black/ White/ Red/ Blue,32GB, Min   SMS ,FreeMe 1.5GB TopUp @ 225,R225.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297258&Name=Samsung Galaxy A02s-FreeMe 1.5GB TopUp @ 225
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/f1/6c/54/60/60546cf1921be4db70965289/Samsung-Galaxy-A02s_full.png,/img/logos/telkom.png,Samsung,"Galaxy,A02s",Black/ White/ Red/ Blue,32GB, Min   SMS ,FreeMe 1.5GB TopUp @ 225,R225.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297100&Name=Samsung Galaxy A02s-FreeMe 1.5GB TopUp @ 225
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/other/e4/30/89/5f/5f8930e4afa8c018e08ae9c9/Samsung-Galaxy-A21S-32GB_full,/img/logos/telkom.png,Samsung,"Galaxy,A21S",Blue/ Black/ White/ Red,32GB, 150Min 800MB  50SMS ,FreeMe 800MB TopUp,R235.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297321&Name=Samsung Galaxy A21S-FreeMe 800MB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/other/3e/2a/89/5f/5f892a3ec928d92bbdb0ccb2/Samsung-A01-Full02,/img/logos/telkom.png,Samsung,"Galaxy,A01",Black/ Blue/ Red,16GB, Min   SMS ,FreeMe 1.5GB TopUp @ 235,R235.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297302&Name=Samsung Galaxy A01-FreeMe 1.5GB TopUp @ 235
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/images/44/2f/89/5f/5f892f44bec0966ac8ac1704/huawei_y7p-full.png,/img/logos/telkom.png,HUAWEI,Y7P,Aurora Blue/ Midnight Black,64GB, 150Min 800MB  50SMS ,FreeMe 800MB TopUp,R235.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297297&Name=HUAWEI Y7P-FreeMe 800MB TopUp
https://files.plytix.com/api/v1.1/file/public_files/pim/assets/c1/3a/6a/5e/5e6a3ac1c33e1b8b84c44a58/other/e4/30/89/5f/5f8930e4afa8c018e08ae9c9/Samsung-Galaxy-A21S-32GB_full,/img/logos/telkom.png,Samsung,"Galaxy,A21S",Blue/ Black/ White/ Red,32GB, 150Min 800MB  50SMS ,FreeMe 800MB TopUp,R235.00pm x24 months,https://mobilestore.co.za/deal-details?Deal=DEAL1297269&Name=Samsung Galaxy A21S-FreeMe 800MB TopUp
